carpet
cuda
epoch [164/200], loss:0.0922
epoch [165/200], loss:0.0911
epoch [166/200], loss:0.0910
epoch [167/200], loss:0.0910
epoch [168/200], loss:0.0910
epoch [169/200], loss:0.0905
epoch [170/200], loss:0.0906
Pixel Auroc:0.990, Sample Auroc0.986, Pixel Aupro0.97
epoch [171/200], loss:0.0905
epoch [172/200], loss:0.0903
epoch [173/200], loss:0.0893
epoch [174/200], loss:0.0894
epoch [175/200], loss:0.0888
epoch [176/200], loss:0.0884
epoch [177/200], loss:0.0895
epoch [178/200], loss:0.0883
epoch [179/200], loss:0.0878
epoch [180/200], loss:0.0875
Pixel Auroc:0.989, Sample Auroc0.990, Pixel Aupro0.97
epoch [181/200], loss:0.0882
epoch [182/200], loss:0.0877
epoch [183/200], loss:0.0871
epoch [184/200], loss:0.0873
epoch [185/200], loss:0.0872
epoch [186/200], loss:0.0863
epoch [187/200], loss:0.0862
epoch [188/200], loss:0.0862
epoch [189/200], loss:0.0867
epoch [190/200], loss:0.0862
Pixel Auroc:0.990, Sample Auroc0.985, Pixel Aupro0.971
epoch [191/200], loss:0.0858
epoch [192/200], loss:0.0859
epoch [193/200], loss:0.0852
epoch [194/200], loss:0.0850
epoch [195/200], loss:0.0842
epoch [196/200], loss:0.0842
epoch [197/200], loss:0.0847
epoch [198/200], loss:0.0805
epoch [199/200], loss:0.0786
epoch [200/200], loss:0.0778
Pixel Auroc:0.990, Sample Auroc0.987, Pixel Aupro0.97
